"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE"
"glibc","glibc-2.27-57-g6c99e37f6fb640a50a3113b2dbee5d5389843c1e","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-glibc-2.27-57-g6c99e37f6fb640a50a3113b2dbee5d5389843c1e.tar.gz","https://github.com/bminor/glibc/archive/glibc-2.27-57-g6c99e37f6fb640a50a3113b2dbee5d5389843c1e"
"linux-headers","4.1.52","GPL-2.0","COPYING","linux-4.1.52.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x"
"dash","0.5.10.2","BSD-3-Clause, GPL-2.0+ (mksignames.c)","COPYING","dash-0.5.10.2.tar.gz","http://gondor.apana.org.au/~herbert/dash/files"
"gdb","7.12.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-7.12.1.tar.xz","http://ftp.gnu.org/pub/gnu/gdb"
"buildroot","2018.08.1-00003-g576b333","GPL-2.0+","COPYING","not saved","not saved"
"gcc-final","7.3.0","unknown","","gcc-7.3.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-7.3.0"
"bison","3.0.4","GPL-3.0+","COPYING","bison-3.0.4.tar.xz","http://ftp.gnu.org/pub/gnu/bison"
"lzip","1.20","GPL-2.0+","COPYING","lzip-1.20.tar.gz","http://download.savannah.gnu.org/releases/lzip"
"tar","1.29","GPL-3.0+","COPYING","tar-1.29.cpio.gz","http://ftp.gnu.org/pub/gnu/tar"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftp.gnu.org/pub/gnu/m4"
"gawk","4.2.1","GPL-3.0+","COPYING","gawk-4.2.1.tar.xz","http://ftp.gnu.org/pub/gnu/gawk"
"gcc-initial","7.3.0","unknown","","gcc-7.3.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-7.3.0"
"binutils","2.29.1","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.29.1.tar.xz","http://ftp.gnu.org/pub/gnu/binutils"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftp.gnu.org/pub/gnu/gmp"
"mpc","1.0.3","LGPL-3.0+","COPYING.LESSER","mpc-1.0.3.tar.gz","http://ftp.gnu.org/pub/gnu/mpc"
"mpfr","3.1.6","LGPL-3.0+","COPYING.LESSER","mpfr-3.1.6.tar.xz","http://www.mpfr.org/mpfr-3.1.6"
"gdb","7.12.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-7.12.1.tar.xz","http://ftp.gnu.org/pub/gnu/gdb"
"expat","2.2.5","MIT","COPYING","expat-2.2.5.tar.bz2","http://downloads.sourceforge.net/project/expat/expat/2.2.5"
"pkgconf","0.9.12","pkgconf license","COPYING","pkgconf-0.9.12.tar.bz2","https://github.com/pkgconf/pkgconf/releases/download/pkgconf-0.9.12"
"ncurses","6.1","MIT with advertising clause","README","ncurses-6.1.tar.gz","http://ftp.gnu.org/pub/gnu/ncurses"
"patchelf","0.9","GPL-3.0+","COPYING","patchelf-0.9.tar.bz2","http://releases.nixos.org/patchelf/patchelf-0.9"
